id,index,pmcid,Pattern,NormalPattern,Word,NormalWord,Similarity,NormalSimilarity,Distribution1,Distribution2,Distribution3,Distribution4,Distribution5,BioSentStop,mainfinding,mainfindingat,NormalWordFixed,NormalSimilarityFixed,LogNormalPattern,MaxNormalSimilarityFixed,MaxBioSentStop,MaxSimilarity
PMC1262740:1,1,PMC1262740,0,0,-3.12004729,-1.120558241,1,1,1,0,0,0,0,0.16556239,n,n,0.385315128,0.119842346,0,0.563311725,0.35790667,25
PMC1262740:2,2,PMC1262740,44.08,0.366569647,0,0,25,1.903653939,0,0,0,1,0,0.35790667,p,p,0.438148392,0.563311725,0.793779525,0.563311725,0.35790667,25
PMC1262740:3,3,PMC1262740,0,0,3.010516827,0.090732876,0,0,0,0,0,1,0,0.05748179,n,n,0.489126924,0,0,0.563311725,0.35790667,25
PMC1262740:4,4,PMC1262740,0,0,0,0,1,1,0,0,0,1,0,0.05435755,n,n,0.438148392,0.119842346,0,0.563311725,0.35790667,25
PMC1262740:5,5,PMC1262740,6.19,0.051476091,-10.5015328,-1.405777929,9,1.551845574,0,1,0,0,0,0.31161988,n,n,0.260320877,0.398107657,0.411161105,0.563311725,0.35790667,25
PMC1262740:6,6,PMC1262740,0,0,4.740905917,0.142884446,0,0,0,1,0,0,0,0.30257097,n,n,0.518428436,0,0,0.563311725,0.35790667,25
PMC1262740:7,7,PMC1262740,0,0,-3.823941161,-1.147756614,9,1.551845574,0,1,0,0,0,0.3261386,n,n,0.373395754,0.398107657,0,0.563311725,0.35790667,25
PMC1262740:8,8,PMC1262740,0,0,0,0,0,0,0,1,0,0,0,0.05381211,n,n,0.438148392,0,0,0.563311725,0.35790667,25
PMC1262740:9,9,PMC1262740,0,0,2.165544181,0.065266552,0,0,0,1,0,0,0,0.04053577,n,n,0.474818595,0,0,0.563311725,0.35790667,25
PMC1262740:10,10,PMC1262740,0,0,3.422331524,0.10314441,0,0,0,1,0,0,0,0.0730257,n,n,0.496100381,0,0,0.563311725,0.35790667,25
PMC1266383:1,1,PMC1266383,0,0,2.575361736,0.077617894,1,1,1,0,0,0,0,0.5742003,n,n,0.481758233,0.119842346,0,0.499733596,0.5742003,17
PMC1266383:2,2,PMC1266383,0,0,-8.789699571,-1.339632905,0,0,1,0,0,0,0,0.25720513,n,n,0.289308174,0,0,0.499733596,0.5742003,17
PMC1266383:3,3,PMC1266383,0,0,0,0,0,0,1,0,0,0,0,0.21888573,n,n,0.438148392,0,0,0.499733596,0.5742003,17
